Fecha,Token,Liquidez_SOL,PrecioCompra,PrecioVenta,Signature
2025-08-15T23:35:24.614Z,NoEncontrado,9.92,0.05040323,0.06048388,MtwmeQ3jBUUc69urZZezUfCzzKnmaQ2bFTVYWJZAZMKy8Yxi7tnTWPK7tpS2saRrzhqSj6Vw49AyaWG4KMnANQf
2025-08-15T23:35:24.630Z,NoEncontrado,4.4,0.11363636,0.13636363,22WFi5WbRiXZWhfpCVUb2F1e1anQ7TFM9w7JYHEbrDrFRFTd2Ajvrid5MsqjmS372oeoZhbNP6GDo46ku3a6obtD
2025-08-15T23:35:24.648Z,NoEncontrado,8.73,0.05727377,0.06872852,4fZJ8nDH7c4eW6oU9kvKaindCXrUsa7mBNEqhNESCQXaWugzE1RNSg7uwSBGDf6Y4e6keai2oPsu1CXUCJwo22Uz
2025-08-15T23:35:24.658Z,ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,5.83,0.08576329,0.10291595,4JjK1VXvtDqYHXPUgMZLNNJn388Tjf2iKmgG2eHUG4xZqssgib4PLSS3Cek6riiQN7Xyv1E6nLPtLakLwEKzuUPQ
2025-08-15T23:35:24.665Z,ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,5.14,0.09727626,0.11673151,4uTa1v2W3RjnKjGY69JSkknRjenv5LEcYDY8PW9EdUNQEMhKV6VXYsG5ggN5MyZhD6AMmWxLKURkNVUch8MHECYp
2025-08-15T23:35:24.679Z,ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,5.16,0.09689922,0.11627906,3Bmvg8kLzd64NX69e9NJ9Zvb1ngnPGDVwvyrNimNmADvjkBHgPbm47xwbgxcRbJrCwWf4hcpAUxY99gUurkkKjxG
2025-08-15T23:35:24.684Z,ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,9.92,0.05040323,0.06048388,2caEAVCCdyFWD9EJi4KuwZJn1nsCg9Cv6po68wqP8S9nVYPZT17pNN5eW4SxkVtSYqGXzW5L6Nzvs1Fgwb5PGvX9
2025-08-15T23:35:24.741Z,NoEncontrado,7.54,0.06631300,0.07957560,5D7ZGoznGfdMqtsE6DQpyXzNrzo1k3QsYySBrP3uXTUBTueB971mpL6ornCVmpS4wiGpkwL1Bv1FMtKDnBnnMErD
2025-08-15T23:35:24.743Z,NoEncontrado,6.14,0.08143322,0.09771986,622eYhJVaBuWf6E4nQuiRpmqPixnr3GwBEwAtaRw1NNzkrSKTJxmbveDQdSAsEzCwk7XW5derSTvdH4QjhbPT6H1
2025-08-15T23:35:24.747Z,NoEncontrado,5.93,0.08431703,0.10118044,2taeuWhAzPXtYpRjVPCBsaA4KnyQRVZR2W2KwRSqo9bTUytJguvjPUnYFTE98jR3hfSqYr9sSMygyo6gjobEG3NS
